,ID
0,339338
1,503326
2,199734
3,435995
4,95608
5,395458
6,257785
7,85286
8,428446
9,521045
10,617468
11,700559
12,448999
13,463225
14,490936
15,464111
16,745068
17,526005
18,625595
19,518124
20,490066
21,512744
22,107588
23,483829
24,606158
25,453759
26,629292
27,500764
28,518851
29,596996
30,621356
31,342917
32,485457
33,502524
34,564286
35,486368
36,602067
37,676914
38,507999
39,599451
40,517004
41,642464
42,452104
43,671595
44,603793
45,614705
46,681824
47,471536
48,18095
49,490066
50,615960
51,485289
52,681985
53,451353
54,342917
55,571103
56,490924
57,456286
58,491267
59,711720
60,549518
61,322786
62,412166
63,469472
64,256075
65,469104
66,532615
67,483165
68,434231
69,421126
70,477283
71,589227
72,705800
73,483877
74,423520
75,446752
76,488909
77,15804
78,459711
79,571102
80,492620
81,686828
82,698864
83,716131
84,657692
85,623976
86,455421
87,467521
88,542642
89,471308
90,439935
91,471872
92,462588
93,544349
94,432068
95,448653
96,733988
97,438525
98,460968
99,209249
100,482751
101,451866
102,475076
103,461843
104,664308
105,358908
106,518792
107,510343
108,251201
109,79842
110,498910
111,636443
112,456476
113,686453
114,378165
115,474812
116,457852
117,740608
118,32847
119,602861
120,343810
121,539508
122,337927
123,611769
124,633890
125,542642
126,374607
127,515370
128,18893
129,633895
130,478063
131,453933
132,453931
133,117800
134,117800
135,441650
136,480774
137,539227
138,621736
139,687430
140,93676
141,513263
142,578693
143,469945
144,318872
145,625610
146,564425
147,598633
148,609621
149,506645
150,624934
151,524126
152,307429
153,504180
154,678573
155,605574
156,486246
157,656421
158,472311
159,543050
160,696131
161,492098
162,623939
163,265605
164,392545
165,468769
166,468775
167,468769
168,468775
169,752925
170,438376
171,668327
172,493527
173,662782
174,518006
175,645323
176,659387
177,531724
178,641930
179,481634
180,727714
181,450135
182,493207
183,508911
184,633194
185,199979
186,515810
187,517832
188,554090
189,483546
190,546287
191,668169
192,528895
193,271715
194,654422
195,17687
196,653911
197,55341
198,91045
199,472621
200,487572
201,514964
202,426652
203,441068
204,552929
205,521667
206,557276
207,509252
208,655508
209,521321
210,613356
211,710327
212,521893
213,487347
214,658096
215,428509
216,520710
217,549306
218,25212
219,667300
220,501821
